0048BA|217.100.73|Absolute Zero
B0BF1A|65.86.75|Acid green
7CB9E8|206.47.91|Aero
C9FFE5|151.21.100|Aero blue
B284BE|288.31.75|African violet
AF002A|346.100.69|Alabama crimson
F2F0E6|346.100.69|Alabaster
F0F8FF|208.6.100|Alice blue
84DE02|85.99.87|Alien Armpit
C46210|27.92.77|Alloy orange
EFDECD|30.14.94|Almond
E52B50|348.81.90|Amaranth
9F2B68|328.73.62|Amaranth deep purple
F19CBB|338.35.95|Amaranth pink
AB274F|342.77.67|Amaranth purple
D3212D|356.84.83|Amaranth red
FFBF00|45.100.100|Amber
FF7E00|30.100.100|Amber (SAE/ECE)
9966CC|270.50.80|Amethyst
A4C639|74.71.78|Android green
F2F3F4|210.1.96|Anti-flash white
CD9575|22.43.80|Antique brass
665D1E|53.71.40|Antique bronze
915C83|316.37.57|Antique fuchsia
841B2D|350.80.52|Antique ruby
FAEBD7|34.14.98|Antique white
008000|120.100.50|Ao (English)
66B447|104.61.71|Apple
8DB600|74.100.71|Apple green
FBCEB1|24.29.98|Apricot
00FFFF|180.100.100|Aqua
7FFFD4|160.50.100|Aquamarine
D0FF14|72.92.100|Arctic lime
4B5320|69.61.33|Army green
8F9779|76.20.59|Artichoke
E9D66B|51.54.91|Arylide yellow
B2BEB5|135.6.75|Ash grey
87A96B|93.37.66|Asparagus
FF9966|20.60.100|Atomic tangerine
A52A2A|0.75.65|Auburn
FDEE00|56.100.99|Aureolin
6E7F80|183.14.50|AuroMetalSaurus
568203|81.98.51|Avocado
FF2052|347.98.51|Awesome
63775B|103.24.47|Axolotl
007FFF|210.100.100|Azure
F0FFFF|180.6.100|Azure mist
2E5894|215.69.58|B'dazzled blue
89CFF0|199.43.94|Baby blue
A1CAF1|209.33.95|Baby blue eyes
F4C2C2|0.20.96|Baby pink
FEFEFA|60.2.100|Baby powder
FF91AF|344.43.100|Baker-Miller pink
21ABCD|192.84.80|Ball blue
FAE7B5|43.28.98|Banana Mania
FFE135|51.79.100|Banana yellow
006A4E|164.100.42|Bangladesh green
E0218A|327.85.88|Barbie pink
7C0A02|4.98.49|Barn red
848482|60.2.52|Battleship grey
5FC9BF|174.53.79|Bayside
98777B|353.22.60|Bazaar
BCD4E6|206.18.90|Beau blue
FA6E79|355.10.96|Begonia
9F8170|22.30.62|Beaver
F28E1C|32.88.95|Beer
F5F5DC|60.10.96|Beige
9C2542|345.76.61|Big dip o’ruby
E88E5A|22.61.91|Big Foot Feet
FFE4C4|33.23.100|Bisque
3D2B1F|24.49.24|Bistre
967117|43.85.59|Bistre brown
CAE00D|66.94.88|Bitter lemon
BFFF00|75.100.100|Bitter lime
FE6F5E|6.63.100|Bittersweet
BF4F51|359.59.75|Bittersweet shimmer
3D0C02|10.97.24|Black bean
1B1811|42.37.11|Black chocolate
3B2F2F|0.20.23|Black coffee
54626F|209.24.44|Black coral
253529|135.30.21|Black leather jacket
3B3C36|70.10.24|Black olive
BFAFB2|349.8.75|Black Shadows
FFEBCD|36.20.100|Blanched almond
A57164|12.39.65|Blast-off bronze
318CE7|210.79.91|Bleu de France
ACE5EE|188.28.93|Blizzard blue
FAF0BE|50.24.98|Blond
8A0303|0.98.54|Blood
D1001C|352.100.82|Blood orange
660000|0.100.40|Blood red
A41313|0.88.64|Blood (Animal)
630F0F|0.85.39|Blood (organ)
0000FF|240.100.100|Blue
1F75FE|217.88.100|Blue (Crayola)
0093AF|190.100.69|Blue (Munsell)
0087BD|197.100.74|Blue (NCS)
0018A8|231.100.66|Blue (Pantone)
333399|240.67.60|Blue (pigment)
0247FE|224.99.100|Blue (RYB)
A2A2D0|240.22.82|Blue bell
00B9FB|196.100.98|Blue bolt
0088DC|204.100.86|Blue cola
6699CC|210.50.80|Blue-gray
0D98BA|192.93.73|Blue-green
064E40|168.92.31|Blue-green (color wheel)
5DADEC|206.61.93|Blue jeans
ACE5EE|188.28.93|Blue lagoon
553592|261.64.57|Blue-magenta violet
0CBFE9|191.95.91|Blue raspberry
126180|197.86.50|Blue sapphire
8A2BE2|271.81.89|Blue-violet
7366BD|249.46.74|Blue-violet (Crayola)
4D1A7F|249.46.74|Blue-violet (color wheel)
5072A7|217.52.65|Blue yonder
4F86F7|220.68.97|Blueberry
1C1CF0|240.88.94|Bluebonnet
DE5D83|342.58.87|Blush
79443B|9.51.47|Bole
0095B6|191.100.71|Bondi blue
E3DAC9|39.11.89|Bone
DDE26A|63.53.89|Booger Buster
CC0000|0.100.80|Boston University red
006A4E|164.100.42|Bottle green
873260|328.63.53|Boysenberry
0070FF|214.100.100|Brandeis blue
87413F|2.53.53|Brandy
FF631C|19.89.100|Brave orange
CB4154|352.68.80|Brick red
1DACD6|194.86.84|Bright cerulean
EBECF0|228.2.94|Bright gray
66FF00|96.100.100|Bright green
E0475C|352.68.88|Briquette
BF94E4|272.35.89|Bright lavender
D891EF|285.39.94|Bright lilac
C32148|346.83.76|Bright maroon
1974D2|210.88.82|Bright navy blue
FF007F|330.100.100|Bright pink
08E8DE|177.97.91|Bright turquoise
D19FE8|281.31.91|Bright ube
FFAA1D|37.89.100|Bright yellow (Crayola)
3399FF|210.80.100|Brilliant azure
F4BBFF|290.27.100|Brilliant lavender
FF55A3|332.67.100|Brilliant rose
FB607F|348.62.98|Brink pink
004225|154.100.26|British racing green
88540B|35.92.53|Bronze
CD7F32|30.76.80|Bronze
B08D57|36.51.69|Bronze (metallic)
737000|58.100.45|Bronze yellow
993300|20.100.60|Brown
AF593E|14.65.69|Brown (Crayola)
964B00|30.100.59|Brown (traditional)
A52A2A|0.75.65|Brown (web)
6B4423|28.67.42|Brown-nose
AF6E4D|20.56.69|Brown sugar
1B4D3E|162.65.30|Brunswick green
FFC1CC|349.24.100|Bubble gum
E7FEFF|183.9.100|Bubbles
7BB661|102.47.71|Bud green
F0DC82|49.46.94|Buff
480607|359.92.28|Bulgarian rose
800020|345.100.50|Burgundy
DEB887|34.39.87|Burlywood
A17A74|8.28.63|Burnished brown
CC5500|25.100.80|Burnt orange
E97451|14.65.91|Burnt sienna
8A3324|9.74.54|Burnt umber
24A0ED|203.83.93|Button blue
BD33A4|311.73.74|Byzantine
702963|311.63.44|Byzantium
536872|199.27.45|Cadet
5F9EA0|182.41.63|Cadet blue
A9B2C3|219.13.76|Cadet blue (Crayola)
91A3B0|205.18.69|Cadet grey
0A1195|237.93.85|Cadmium blue
006B3C|154.100.42|Cadmium green
ED872D|28.81.93|Cadmium orange
B60C26|351.93.71|Cadmium purple
E30022|351.100.89|Cadmium red
FFF600|58.100.100|Cadmium yellow
7F3E98|283.59.60|Cadmium violet
A67B5B|26.45.65|Café au lait
4B3621|30.56.29|Café noir
1E4D2B|137.61.30|Cal Poly Pomona green
FCFFA4|62.36.100|Calamansi
A3C1AD|140.16.76|Cambridge blue
C19A6B|33.45.76|Camel
EFBBCC|340.22.94|Cameo pink
78866B|91.20.53|Camouflage green
FFFF99|60.40.100|Canary
FFEF00|56.100.100|Canary yellow
FF0800|2.100.100|Candy apple red
E4717A|355.50.89|Candy pink
00BFFF|195.100.100|Capri
592720|7.64.35|Caput mortuum
FFD59A|35.40.100|Caramel
C41E3A|350.85.77|Cardinal
00CC99|165.100.80|Caribbean green
960018|350.100.59|Carmine
D70040|342.100.84|Carmine (M&P)
EB4C42|4.72.92|Carmine pink
FF0038|347.100.100|Carmine red
FFA6C9|336.35.100|Carnation pink
B31B1B|0.85.70|Carnelian
56A0D3|204.59.83|Carolina blue
ED9121|33.86.93|Carrot orange
00563F|164.100.34|Castleton green
062A78|221.95.47|Catalina blue
703642|348.52.44|Catawba
C95A49|8.64.79|Cedar Chest
92A1CF|225.29.81|Ceil
ACE1AF|123.24.88|Celadon
007BA7|196.100.65|Celadon blue
2F847C|174.64.52|Celadon green
B2FFFF|180.30.100|Celeste
4997D0|205.65.82|Celestial blue
DE3163|343.78.87|Cerise
EC3B83|336.75.93|Cerise pink
007BA7|196.100.65|Cerulean
